"No.","Time","Source","Destination","Protocol","Length","Info"
"31","2.044107","142.250.192.36","10.87.1.105","QUIC","163","Protected Payload (KP0)"
"32","2.044107","142.250.192.36","10.87.1.105","QUIC","65","Protected Payload (KP0)"
"33","2.044648","10.87.1.105","142.250.192.36","QUIC","73","Protected Payload (KP0), DCID=d582ef7bd427cebb"
"34","2.046179","142.250.192.36","10.87.1.105","QUIC","69","Protected Payload (KP0)"
"35","2.076004","10.87.1.105","142.250.192.36","QUIC","74","Protected Payload (KP0), DCID=d582ef7bd427cebb"
"36","2.098540","142.250.192.36","10.87.1.105","TLSv1.3","1466","Server Hello, Change Cipher Spec"
"37","2.098540","142.250.192.36","10.87.1.105","TCP","1466","443  >  62079 [PSH, ACK] Seq=1413 Ack=518 Win=66816 Len=1412 [TCP segment of a reassembled PDU]"
"38","2.098540","142.250.192.36","10.87.1.105","TCP","1466","443  >  62079 [ACK] Seq=2825 Ack=518 Win=66816 Len=1412 [TCP segment of a reassembled PDU]"
"39","2.098540","142.250.192.36","10.87.1.105","TLSv1.3","268","Application Data"
"40","2.098726","10.87.1.105","142.250.192.36","TCP","54","62079  >  443 [ACK] Seq=518 Ack=4451 Win=66304 Len=0"
"41","2.100133","10.87.1.105","142.250.192.36","TLSv1.3","128","Change Cipher Spec, Application Data"
"42","2.119668","142.250.192.36","10.87.1.105","QUIC","923","Protected Payload (KP0)"
"43","2.119668","142.250.192.36","10.87.1.105","QUIC","63","Protected Payload (KP0)"
"44","2.120226","10.87.1.105","142.250.192.36","QUIC","77","Protected Payload (KP0), DCID=d582ef7bd427cebb"
"45","2.124275","10.87.1.105","8.8.8.8","QUIC","1292","Initial, DCID=c83617cc7e2b49c8, PKN: 1, PING, PADDING, PING, CRYPTO, PADDING, CRYPTO, PADDING, PING, CRYPTO, PING, CRYPTO, PADDING, PING, PADDING"
"46","2.124750","10.87.1.105","8.8.8.8","QUIC","119","0-RTT, DCID=c83617cc7e2b49c8"
"47","2.125353","10.87.1.105","8.8.8.8","QUIC","290","0-RTT, DCID=c83617cc7e2b49c8"
"48","2.125576","10.87.1.105","8.8.8.8","QUIC","258","0-RTT, DCID=c83617cc7e2b49c8"
"49","2.134549","142.250.192.36","10.87.1.105","TCP","60","443  >  62079 [ACK] Seq=4451 Ack=592 Win=66816 Len=0"
"50","2.153281","10.87.1.105","142.250.192.36","QUIC","74","Protected Payload (KP0), DCID=d582ef7bd427cebb"
"51","2.179662","142.250.192.36","10.87.1.105","QUIC","66","Protected Payload (KP0)"
"52","2.185034","8.8.8.8","10.87.1.105","QUIC","1292","Initial, SCID=c83617cc7e2b49c8, PKN: 1, ACK, PADDING"
"53","2.220390","8.8.8.8","10.87.1.105","QUIC","1292","Protected Payload (KP0)"
"54","2.220390","8.8.8.8","10.87.1.105","QUIC","856","Protected Payload (KP0)"
"55","2.220390","8.8.8.8","10.87.1.105","QUIC","184","Protected Payload (KP0)"
"56","2.220390","8.8.8.8","10.87.1.105","QUIC","66","Protected Payload (KP0)"
"57","2.221321","10.87.1.105","8.8.8.8","QUIC","120","Handshake, DCID=c83617cc7e2b49c8"
"58","2.221550","10.87.1.105","8.8.8.8","QUIC","73","Protected Payload (KP0), DCID=c83617cc7e2b49c8"
"59","2.222765","8.8.8.8","10.87.1.105","QUIC","65","Protected Payload (KP0)"
"60","2.222765","8.8.8.8","10.87.1.105","QUIC","742","Protected Payload (KP0)"
"61","2.222765","8.8.8.8","10.87.1.105","QUIC","65","Protected Payload (KP0)"
"62","2.223167","10.87.1.105","8.8.8.8","QUIC","73","Protected Payload (KP0), DCID=c83617cc7e2b49c8"
"63","2.223444","10.87.1.105","8.8.8.8","QUIC","77","Protected Payload (KP0), DCID=c83617cc7e2b49c8"
"64","2.246019","10.87.1.105","8.8.8.8","QUIC","78","Protected Payload (KP0), DCID=c83617cc7e2b49c8"
"65","2.246220","10.87.1.105","8.8.8.8","QUIC","77","Protected Payload (KP0), DCID=c83617cc7e2b49c8"
"66","2.247726","10.87.1.105","35.186.241.102","QUIC","1292","Initial, DCID=78af0a0a3784d5f5, PKN: 1, PADDING, CRYPTO, PADDING"
"67","2.248162","10.87.1.105","35.186.241.102","QUIC","121","0-RTT, DCID=78af0a0a3784d5f5"
"68","2.257187","8.8.8.8","10.87.1.105","QUIC","162","Protected Payload (KP0)"
"69","2.258611","8.8.8.8","10.87.1.105","QUIC","67","Protected Payload (KP0)"
"70","2.280792","8.8.8.8","10.87.1.105","QUIC","67","Protected Payload (KP0)"
"71","2.280792","8.8.8.8","10.87.1.105","QUIC","72","Protected Payload (KP0)"
"72","2.281331","10.87.1.105","8.8.8.8","QUIC","73","Protected Payload (KP0), DCID=c83617cc7e2b49c8"
"73","2.309380","35.186.241.102","10.87.1.105","QUIC","1292","Initial, SCID=f8af0a0a3784d5f5, PKN: 1, ACK, PADDING"
"74","2.343670","35.186.241.102","10.87.1.105","QUIC","1292","Protected Payload (KP0)"
"75","2.355443","10.87.1.105","35.186.241.102","QUIC","1292","Protected Payload (KP0), DCID=f8af0a0a3784d5f5"
"76","2.357267","10.87.1.105","35.186.241.102","QUIC","1292","Initial, DCID=eef278ffb9d2aadd, PKN: 1, CRYPTO, CRYPTO, PING, CRYPTO, PADDING, CRYPTO, CRYPTO, CRYPTO, CRYPTO, PING, CRYPTO, PADDING, CRYPTO"
"77","2.357897","10.87.1.105","35.186.241.102","TCP","66","62080  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"78","2.392915","35.186.241.102","10.87.1.105","TCP","66","443  >  62080 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1412 SACK_PERM WS=256"
"79","2.393104","10.87.1.105","35.186.241.102","TCP","54","62080  >  443 [ACK] Seq=1 Ack=1 Win=66304 Len=0"
"80","2.393817","10.87.1.105","35.186.241.102","TLSv1.3","831","Client Hello"
"81","2.417308","35.186.241.102","10.87.1.105","QUIC","1292","Initial, SCID=eef278ffb9d2aadd, PKN: 1, ACK, PADDING"
"82","2.428860","35.186.241.102","10.87.1.105","TCP","60","443  >  62080 [ACK] Seq=1 Ack=778 Win=67328 Len=0"
"83","2.452896","35.186.241.102","10.87.1.105","QUIC","1292","Protected Payload (KP0)"
"84","2.454241","10.87.1.105","35.186.241.102","QUIC","205","Protected Payload (KP0), DCID=eef278ffb9d2aadd"
"85","2.454660","10.87.1.105","35.186.241.102","QUIC","566","Protected Payload (KP0), DCID=eef278ffb9d2aadd"
"86","2.489547","35.186.241.102","10.87.1.105","QUIC","560","Protected Payload (KP0)"
"87","2.489547","35.186.241.102","10.87.1.105","QUIC","163","Protected Payload (KP0)"
"88","2.490172","10.87.1.105","35.186.241.102","QUIC","74","Protected Payload (KP0), DCID=eef278ffb9d2aadd"
"89","2.490260","35.186.241.102","10.87.1.105","QUIC","69","Protected Payload (KP0)"
"90","2.492721","35.186.241.102","10.87.1.105","TLSv1.3","1466","Server Hello, Change Cipher Spec"
"91","2.492721","35.186.241.102","10.87.1.105","TCP","1466","443  >  62080 [PSH, ACK] Seq=1413 Ack=778 Win=67328 Len=1412 [TCP segment of a reassembled PDU]"
"92","2.492721","35.186.241.102","10.87.1.105","TCP","1466","443  >  62080 [ACK] Seq=2825 Ack=778 Win=67328 Len=1412 [TCP segment of a reassembled PDU]"
"93","2.492900","10.87.1.105","35.186.241.102","TCP","54","62080  >  443 [ACK] Seq=778 Ack=4237 Win=66304 Len=0"
"94","2.493500","35.186.241.102","10.87.1.105","TLSv1.3","519","Application Data"
"95","2.493583","10.87.1.105","35.186.241.102","TCP","54","62080  >  443 [ACK] Seq=778 Ack=4702 Win=65792 Len=0"
"96","2.494081","10.87.1.105","35.186.241.102","TLSv1.3","118","Change Cipher Spec, Application Data"
"97","2.523549","10.87.1.105","35.186.241.102","QUIC","74","Protected Payload (KP0), DCID=eef278ffb9d2aadd"
"98","2.528587","35.186.241.102","10.87.1.105","TCP","60","443  >  62080 [ACK] Seq=4702 Ack=842 Win=67328 Len=0"
"99","2.529362","35.186.241.102","10.87.1.105","TLSv1.3","640","Application Data, Application Data"
"100","2.558860","35.186.241.102","10.87.1.105","QUIC","619","Protected Payload (KP0)"
"101","2.559445","10.87.1.105","35.186.241.102","QUIC","77","Protected Payload (KP0), DCID=eef278ffb9d2aadd"
"102","2.584562","10.87.1.105","35.186.241.102","TCP","54","62080  >  443 [ACK] Seq=842 Ack=5288 Win=65280 Len=0"
"103","2.619983","35.186.241.102","10.87.1.105","QUIC","66","Protected Payload (KP0)"
"104","2.980971","Routerbo_eb:74:e4","Broadcast","ARP","60","Who has 10.87.3.16? Tell 10.87.0.2"
"105","3.049221","10.87.1.105","192.168.100.21","TCP","66","[TCP Retransmission] [TCP Port numbers reused] 62078  >  7680 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"106","3.049281","10.87.1.105","192.168.1.106","TCP","66","[TCP Retransmission] [TCP Port numbers reused] 62076  >  7680 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"107","3.049282","10.87.1.105","192.168.68.74","TCP","66","[TCP Retransmission] [TCP Port numbers reused] 62077  >  7680 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"108","4.005407","Routerbo_eb:74:e4","Broadcast","ARP","60","Who has 10.87.3.16? Tell 10.87.0.2"
"109","4.926574","Routerbo_eb:74:e4","Broadcast","ARP","60","Who has 10.87.3.16? Tell 10.87.0.2"
"110","5.643407","Routerbo_eb:74:e4","Broadcast","ARP","60","Who has 10.87.1.51? Tell 10.87.0.2"
"111","5.950472","Routerbo_eb:74:e4","Broadcast","ARP","60","Who has 10.87.3.16? Tell 10.87.0.2"
"112","6.353130","10.87.1.105","23.56.239.146","TCP","54","62005  >  443 [FIN, ACK] Seq=1 Ack=1 Win=1024 Len=0"
"113","6.355437","23.56.239.146","10.87.1.105","TCP","60","443  >  62005 [ACK] Seq=1 Ack=2 Win=768 Len=0"
"114","6.417000","23.56.239.146","10.87.1.105","TCP","60","[TCP Previous segment not captured] 443  >  62005 [FIN, ACK] Seq=25 Ack=2 Win=501 Len=0"
"115","6.417070","10.87.1.105","23.56.239.146","TCP","54","[TCP Dup ACK 112#1] 62005  >  443 [ACK] Seq=2 Ack=1 Win=1024 Len=0"
"116","6.480675","23.56.239.146","10.87.1.105","TCP","60","443  >  62005 [RST] Seq=1 Win=0 Len=0"
"117","6.667767","Routerbo_eb:74:e4","Broadcast","ARP","60","Who has 10.87.1.51? Tell 10.87.0.2"
"118","6.974634","Routerbo_eb:74:e4","Broadcast","ARP","60","Who has 10.87.3.16? Tell 10.87.0.2"
"119","7.051564","10.87.1.105","192.168.68.74","TCP","66","[TCP Retransmission] [TCP Port numbers reused] 62077  >  7680 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"120","7.051603","10.87.1.105","192.168.100.21","TCP","66","[TCP Retransmission] [TCP Port numbers reused] 62078  >  7680 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"121","7.051603","10.87.1.105","192.168.1.106","TCP","66","[TCP Retransmission] [TCP Port numbers reused] 62076  >  7680 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"122","7.077136","13.107.6.158","10.87.1.105","TCP","60","443  >  61972 [ACK] Seq=1 Ack=1 Win=65535 Len=0"
"123","7.077223","10.87.1.105","13.107.6.158","TCP","54","[TCP ACKed unseen segment] 61972  >  443 [ACK] Seq=1 Ack=2 Win=1019 Len=0"
"124","7.450784","20.198.162.76","10.87.1.105","TCP","60","443  >  49500 [ACK] Seq=1 Ack=1 Win=65535 Len=0"
"125","7.450876","10.87.1.105","20.198.162.76","TCP","54","[TCP ACKed unseen segment] 49500  >  443 [ACK] Seq=1 Ack=2 Win=515 Len=0"
"126","7.589192","Routerbo_eb:74:e4","Broadcast","ARP","60","Who has 10.87.1.51? Tell 10.87.0.2"
"127","7.780907","10.87.1.105","88.8.8.8","ICMP","74","Echo (ping) request  id=0x0001, seq=192/49152, ttl=128 (reply in 128)"
"128","7.957858","88.8.8.8","10.87.1.105","ICMP","74","Echo (ping) reply    id=0x0001, seq=192/49152, ttl=50 (request in 127)"
"129","7.998508","Routerbo_eb:74:e4","Broadcast","ARP","60","Who has 10.87.3.16? Tell 10.87.0.2"
"130","8.510693","Routerbo_eb:74:e4","Broadcast","ARP","60","Who has 10.87.2.85? Tell 10.87.0.2"
"131","8.800914","10.87.1.105","88.8.8.8","ICMP","74","Echo (ping) request  id=0x0001, seq=193/49408, ttl=128 (reply in 133)"
"132","8.817688","Routerbo_eb:74:e4","Broadcast","ARP","60","Who has 10.87.1.51? Tell 10.87.0.2"
"133","8.978230","88.8.8.8","10.87.1.105","ICMP","74","Echo (ping) reply    id=0x0001, seq=193/49408, ttl=50 (request in 131)"
"134","9.022877","Routerbo_eb:74:e4","Broadcast","ARP","60","Who has 10.87.3.16? Tell 10.87.0.2"
"135","9.432659","Routerbo_eb:74:e4","Broadcast","ARP","60","Who has 10.87.2.85? Tell 10.87.0.2"
"136","9.827825","10.87.1.105","88.8.8.8","ICMP","74","Echo (ping) request  id=0x0001, seq=194/49664, ttl=128 (reply in 138)"
"137","9.841539","Routerbo_eb:74:e4","Broadcast","ARP","60","Who has 10.87.1.51? Tell 10.87.0.2"
"138","10.005108","88.8.8.8","10.87.1.105","ICMP","74","Echo (ping) reply    id=0x0001, seq=194/49664, ttl=50 (request in 136)"
"139","10.354010","Routerbo_eb:74:e4","Broadcast","ARP","60","Who has 10.87.3.16? Tell 10.87.0.2"
"140","10.456338","Routerbo_eb:74:e4","Broadcast","ARP","60","Who has 10.87.2.85? Tell 10.87.0.2"
"141","10.763502","Routerbo_eb:74:e4","Broadcast","ARP","60","Who has 10.87.1.51? Tell 10.87.0.2"
"142","10.815422","10.87.1.105","74.125.130.188","TCP","55","61483  >  5228 [ACK] Seq=1 Ack=1 Win=256 Len=1"
"143","10.846859","10.87.1.105","88.8.8.8","ICMP","74","Echo (ping) request  id=0x0001, seq=195/49920, ttl=128 (reply in 147)"
"144","10.911084","74.125.130.188","10.87.1.105","TCP","66","5228  >  61483 [ACK] Seq=1 Ack=2 Win=265 Len=0 SLE=1 SRE=2"
"145","10.956265","10.87.1.105","152.195.38.76","TCP","54","61961  >  80 [FIN, ACK] Seq=1 Ack=1 Win=510 Len=0"
"146","10.958505","152.195.38.76","10.87.1.105","TCP","60","80  >  61961 [ACK] Seq=1 Ack=2 Win=192 Len=0"
"147","11.023946","88.8.8.8","10.87.1.105","ICMP","74","Echo (ping) reply    id=0x0001, seq=195/49920, ttl=50 (request in 143)"
"148","11.219809","10.87.1.105","35.186.241.102","TCP","54","62080  >  443 [FIN, ACK] Seq=842 Ack=5288 Win=65280 Len=0"
"149","11.220084","10.87.1.105","142.250.192.36","TCP","54","62079  >  443 [FIN, ACK] Seq=592 Ack=4451 Win=66304 Len=0"
"150","11.254640","142.250.192.36","10.87.1.105","TLSv1.3","1010","Application Data, Application Data"
"151","11.254640","142.250.192.36","10.87.1.105","TCP","60","443  >  62079 [FIN, ACK] Seq=5407 Ack=593 Win=66816 Len=0"
"152","11.254640","35.186.241.102","10.87.1.105","TCP","60","443  >  62080 [FIN, ACK] Seq=5288 Ack=843 Win=67328 Len=0"
"153","11.254777","10.87.1.105","142.250.192.36","TCP","54","62079  >  443 [RST, ACK] Seq=593 Ack=5407 Win=0 Len=0"
"154","11.254937","10.87.1.105","35.186.241.102","TCP","54","62080  >  443 [ACK] Seq=843 Ack=5289 Win=65280 Len=0"
"155","11.275559","Routerbo_eb:74:e4","Broadcast","ARP","60","Who has 10.87.3.16? Tell 10.87.0.2"
"156","11.280817","152.195.38.76","10.87.1.105","TCP","60","80  >  61961 [FIN, ACK] Seq=1 Ack=2 Win=131 Len=0"
"157","11.280892","10.87.1.105","152.195.38.76","TCP","54","61961  >  80 [ACK] Seq=2 Ack=2 Win=510 Len=0"
"158","11.480376","Routerbo_eb:74:e4","Broadcast","ARP","60","Who has 10.87.2.85? Tell 10.87.0.2"
"159","11.992336","Routerbo_eb:74:e4","Broadcast","ARP","60","Who has 10.87.1.51? Tell 10.87.0.2"
"160","12.277025","204.79.197.200","10.87.1.105","TCP","60","443  >  62044 [ACK] Seq=1 Ack=1 Win=65535 Len=0"
"161","12.277103","10.87.1.105","204.79.197.200","TCP","54","[TCP ACKed unseen segment] 62044  >  443 [ACK] Seq=1 Ack=2 Win=1022 Len=0"
"162","12.299487","Routerbo_eb:74:e4","Broadcast","ARP","60","Who has 10.87.3.16? Tell 10.87.0.2"
"163","12.504172","Routerbo_eb:74:e4","Broadcast","ARP","60","Who has 10.87.2.85? Tell 10.87.0.2"
"164","12.733745","40.99.31.130","10.87.1.105","TCP","60","443  >  62045 [ACK] Seq=1 Ack=1 Win=65535 Len=0"
"165","12.733806","10.87.1.105","40.99.31.130","TCP","54","[TCP ACKed unseen segment] 62045  >  443 [ACK] Seq=1 Ack=2 Win=1022 Len=0"
"166","12.741270","10.87.1.105","8.8.8.8","QUIC","254","Protected Payload (KP0), DCID=c83617cc7e2b49c8"
"167","12.741629","10.87.1.105","8.8.8.8","QUIC","250","Protected Payload (KP0), DCID=c83617cc7e2b49c8"
"168","12.777396","8.8.8.8","10.87.1.105","QUIC","69","Protected Payload (KP0)"
"169","12.777396","8.8.8.8","10.87.1.105","QUIC","69","Protected Payload (KP0)"
"170","12.777743","10.87.1.105","8.8.8.8","QUIC","73","Protected Payload (KP0), DCID=c83617cc7e2b49c8"
"171","12.779116","8.8.8.8","10.87.1.105","QUIC","621","Protected Payload (KP0)"
"172","12.779116","8.8.8.8","10.87.1.105","QUIC","64","Protected Payload (KP0)"
"173","12.779371","10.87.1.105","8.8.8.8","QUIC","77","Protected Payload (KP0), DCID=c83617cc7e2b49c8"
"174","12.781541","8.8.8.8","10.87.1.105","QUIC","572","Protected Payload (KP0)"
"175","12.781541","8.8.8.8","10.87.1.105","QUIC","64","Protected Payload (KP0)"
"176","12.781904","10.87.1.105","8.8.8.8","QUIC","77","Protected Payload (KP0), DCID=c83617cc7e2b49c8"
"177","12.783290","10.87.1.105","142.250.183.78","QUIC","1292","Initial, DCID=b299ad5ef31b415e, PKN: 1, PING, PING, PADDING, CRYPTO, CRYPTO, CRYPTO, PADDING, CRYPTO, PING, CRYPTO, CRYPTO, CRYPTO, PING, CRYPTO, CRYPTO, CRYPTO, PING, CRYPTO"
"178","12.816364","8.8.8.8","10.87.1.105","QUIC","65","Protected Payload (KP0)"
"179","12.816727","10.87.1.105","20.198.118.190","TCP","55","61035  >  443 [ACK] Seq=1 Ack=1 Win=513 Len=1 [TCP segment of a reassembled PDU]"
"180","12.816813","10.87.1.105","8.8.8.8","QUIC","73","Protected Payload (KP0), DCID=c83617cc7e2b49c8"
"181","12.819112","142.250.183.78","10.87.1.105","QUIC","1292","Initial, SCID=f299ad5ef31b415e, PKN: 1, ACK, CRYPTO, PADDING"
"182","12.821771","20.198.118.190","10.87.1.105","TCP","66","443  >  61035 [ACK] Seq=1 Ack=2 Win=65535 Len=0 SLE=1 SRE=2"
"183","12.832209","10.87.1.105","142.250.183.78","QUIC","1292","Initial, DCID=f299ad5ef31b415e, PKN: 2, ACK, PADDING"
"184","12.878593","142.250.183.78","10.87.1.105","QUIC","1292","Handshake, SCID=f299ad5ef31b415e"
"185","12.878593","142.250.183.78","10.87.1.105","QUIC","1292","Handshake, SCID=f299ad5ef31b415e"
"186","12.878593","142.250.183.78","10.87.1.105","QUIC","1292","Handshake, SCID=f299ad5ef31b415e"
"187","12.878593","142.250.183.78","10.87.1.105","QUIC","866","Protected Payload (KP0)"
"188","12.879015","10.87.1.105","142.250.183.78","QUIC","81","Handshake, DCID=f299ad5ef31b415e"
"189","12.880527","10.87.1.105","142.250.183.78","QUIC","207","Protected Payload (KP0), DCID=f299ad5ef31b415e"
"190","12.880977","10.87.1.105","142.250.183.78","QUIC","1288","Protected Payload (KP0), DCID=f299ad5ef31b415e"
"191","12.881035","10.87.1.105","142.250.183.78","QUIC","1288","Protected Payload (KP0), DCID=f299ad5ef31b415e"
"192","12.881070","10.87.1.105","142.250.183.78","QUIC","992","Protected Payload (KP0), DCID=f299ad5ef31b415e"
"193","12.912189","13.107.6.158","10.87.1.105","TCP","60","[TCP Previous segment not captured] 443  >  61972 [FIN, ACK] Seq=2 Ack=1 Win=384 Len=0"
"194","12.912449","10.87.1.105","13.107.6.158","TCP","54","[TCP ACKed unseen segment] 61972  >  443 [ACK] Seq=1 Ack=3 Win=1019 Len=0"
"195","12.915843","142.250.183.78","10.87.1.105","QUIC","985","Protected Payload (KP0)"
"196","12.915843","142.250.183.78","10.87.1.105","QUIC","163","Protected Payload (KP0)"
"197","12.915843","142.250.183.78","10.87.1.105","QUIC","65","Protected Payload (KP0)"
"198","12.915843","142.250.183.78","10.87.1.105","QUIC","69","Protected Payload (KP0)"
"199","12.916409","10.87.1.105","142.250.183.78","QUIC","74","Protected Payload (KP0), DCID=f299ad5ef31b415e"
"200","12.941443","142.250.183.78","10.87.1.105","QUIC","66","Protected Payload (KP0)"
"201","12.941899","10.87.1.105","142.250.183.78","QUIC","73","Protected Payload (KP0), DCID=f299ad5ef31b415e"
"202","12.986550","142.250.183.78","10.87.1.105","QUIC","475","Protected Payload (KP0)"
"203","12.986550","142.250.183.78","10.87.1.105","QUIC","236","Protected Payload (KP0)"
"204","12.986869","10.87.1.105","142.250.183.78","QUIC","77","Protected Payload (KP0), DCID=f299ad5ef31b415e"
"205","13.016484","Routerbo_eb:74:e4","Broadcast","ARP","60","Who has 10.87.1.51? Tell 10.87.0.2"
"206","13.017490","10.87.1.105","142.250.183.78","QUIC","74","Protected Payload (KP0), DCID=f299ad5ef31b415e"
"207","13.047534","142.250.183.78","10.87.1.105","QUIC","66","Protected Payload (KP0)"
"208","13.323531","Routerbo_eb:74:e4","Broadcast","ARP","60","Who has 10.87.3.16? Tell 10.87.0.2"
"209","13.528487","Routerbo_eb:74:e4","Broadcast","ARP","60","Who has 10.87.2.85? Tell 10.87.0.2"
"210","14.040384","Routerbo_eb:74:e4","Broadcast","ARP","60","Who has 10.87.1.51? Tell 10.87.0.2"
"211","14.347184","Routerbo_eb:74:e4","Broadcast","ARP","60","Who has 10.87.3.16? Tell 10.87.0.2"
"212","14.550669","40.99.9.162","10.87.1.105","TCP","60","443  >  60997 [ACK] Seq=1 Ack=1 Win=65535 Len=0"
"213","14.550745","10.87.1.105","40.99.9.162","TCP","54","[TCP ACKed unseen segment] 60997  >  443 [ACK] Seq=1 Ack=2 Win=1018 Len=0"
"214","14.552633","Routerbo_eb:74:e4","Broadcast","ARP","60","Who has 10.87.2.85? Tell 10.87.0.2"
"215","14.654839","Routerbo_eb:74:e4","Broadcast","ARP","60","Who has 10.87.1.107? Tell 10.87.0.2"
"216","14.654839","Routerbo_eb:74:e4","Broadcast","ARP","60","Who has 10.87.1.107? Tell 10.87.0.2"
"217","15.055104","10.87.1.105","192.168.1.106","TCP","66","[TCP Retransmission] [TCP Port numbers reused] 62076  >  7680 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"218","15.055116","10.87.1.105","192.168.100.21","TCP","66","[TCP Retransmission] [TCP Port numbers reused] 62078  >  7680 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
